INODE,X,Y,RCH_SS_m_per_day
231259,655250,7100750,1.9370111e-05
231260,656750,7100750,1.9447069e-05
231261,658250,7100750,1.9477397e-05
231262,659750,7100750,1.8024823e-05
231263,661250,7100750,1.6145803e-05
231264,662750,7100750,1.5248926e-05
231265,685250,7100750,1.4590902e-05
231266,686750,7100750,1.4562293e-05
231267,742250,7100750,1.6505648e-05
231268,743750,7100750,1.8579134e-05
231269,745250,7100750,1.8327222e-05
231270,746750,7100750,1.832091e-05
231271,748250,7100750,1.8617176e-05
231272,749750,7100750,1.8819828e-05
231273,766250,7100750,2.1141037e-05
231274,767750,7100750,2.2231256e-05
231275,769250,7100750,2.2704227e-05
231276,770750,7100750,2.2498771e-05
231277,772250,7100750,2.253576e-05
231278,773750,7100750,2.196795e-05
231338,640250,7099250,1.2405222e-05
231339,641750,7099250,1.5257919e-05
231340,643250,7099250,1.467759e-05
231341,644750,7099250,1.4639479e-05
231342,646250,7099250,1.4800689e-05
231343,647750,7099250,1.5243912e-05
231344,649250,7099250,1.6282855e-05
231345,650750,7099250,1.802903e-05
231346,652250,7099250,1.7428418e-05
231347,653750,7099250,1.63602e-05
231348,655250,7099250,1.6560591e-05
231349,656750,7099250,1.7434273e-05
231350,658250,7099250,1.9099965e-05
231351,659750,7099250,1.9424278e-05
231352,661250,7099250,1.9280178e-05
231353,662750,7099250,1.8387527e-05
231354,685250,7099250,1.6262975e-05
231355,686750,7099250,1.9077701e-05
231356,689750,7099250,1.4557349e-05
231357,731750,7099250,1.482106e-05
231358,733250,7099250,1.473488e-05
231359,742250,7099250,1.4415755e-05
231360,743750,7099250,1.8598243e-05
231361,745250,7099250,1.8315477e-05
231362,746750,7099250,1.8395591e-05
231363,748250,7099250,1.8893106e-05
231364,749750,7099250,1.8974448e-05
231365,751250,7099250,1.872008e-05
231366,752750,7099250,1.6797794e-05
231367,754250,7099250,1.5654581e-05
231368,755750,7099250,1.5518473e-05
231369,757250,7099250,1.5716183e-05
231370,764750,7099250,1.3339543e-05
231371,766250,7099250,1.4155586e-05
231372,767750,7099250,1.9882526e-05
231433,641750,7097750,8.7681938e-06
231434,643250,7097750,8.4794674e-06
231435,644750,7097750,8.5085503e-06
231437,647750,7097750,8.7899316e-06
231438,649250,7097750,1.1375324e-05
231439,650750,7097750,1.6916301e-05
231440,652250,7097750,1.4035818e-05
231441,653750,7097750,9.4769157e-06
231442,655250,7097750,9.5582745e-06
231443,656750,7097750,1.2197065e-05
231444,658250,7097750,1.7892817e-05
231445,659750,7097750,1.9113813e-05
231446,661250,7097750,1.904527e-05
231447,662750,7097750,1.8424516e-05
231448,664250,7097750,1.8035515e-05
231449,667250,7097750,1.362287e-05
231450,680750,7097750,1.4988002e-05
231451,685250,7097750,1.740072e-05
231452,686750,7097750,1.863646e-05
231453,688250,7097750,1.8767238e-05
231454,689750,7097750,1.3539548e-05
231455,691250,7097750,7.8698104e-06
231456,692750,7097750,7.9770271e-06
231457,694250,7097750,8.1194266e-06
231458,731750,7097750,1.56225e-05
231459,733250,7097750,1.3358563e-05
231460,734750,7097750,1.4529668e-05
231461,743750,7097750,1.8374731e-05
231462,745250,7097750,1.6279067e-05
231463,746750,7097750,1.5552219e-05
231464,748250,7097750,1.6193888e-05
231465,749750,7097750,1.7783603e-05
231466,751250,7097750,1.893325e-05
231467,752750,7097750,1.7196227e-05
231468,754250,7097750,1.7174998e-05
231469,755750,7097750,1.8744096e-05
231470,757250,7097750,1.820451e-05
231473,767750,7097750,1.7431452e-05
231474,769250,7097750,2.2268772e-05
231475,770750,7097750,2.262727e-05
231476,772250,7097750,2.3152306e-05
231477,773750,7097750,2.3578998e-05
231478,775250,7097750,2.319771e-05
231479,776750,7097750,2.3171415e-05
231480,778250,7097750,2.3180181e-05
231545,647750,7096250,6.292174e-06
231546,649250,7096250,8.4379026e-06
231547,650750,7096250,1.3248349e-05
231548,652250,7096250,1.0583456e-05
231551,656750,7096250,8.8914685e-06
231553,659750,7096250,1.5493528e-05
231554,661250,7096250,1.554335e-05
231555,662750,7096250,1.5209237e-05
231556,664250,7096250,1.5883143e-05
231557,667250,7096250,1.465005e-05
231558,674750,7096250,1.7392007e-05
231559,676250,7096250,1.7532917e-05
231560,680750,7096250,1.7808496e-05
231561,685250,7096250,1.8223091e-05
231562,686750,7096250,1.7862314e-05
231563,688250,7096250,1.7088081e-05
231564,689750,7096250,1.1893297e-05
231565,691250,7096250,6.5282566e-06
231566,692750,7096250,6.6963562e-06
231567,694250,7096250,6.7863225e-06
231568,697250,7096250,1.3455542e-05
231569,698750,7096250,1.9647267e-05
231570,727250,7096250,1.6522321e-05
231571,730250,7096250,1.70925e-05
231572,731750,7096250,1.4259015e-05
231573,733250,7096250,8.3395043e-06
231574,739250,7096250,1.5968411e-05
231575,740750,7096250,1.5829657e-05
231576,742250,7096250,1.7257882e-05
231577,743750,7096250,1.7795699e-05
231578,745250,7096250,1.189349e-05
231579,746750,7096250,9.2048076e-06
231580,748250,7096250,9.6357062e-06
231581,749750,7096250,1.4839028e-05
231582,751250,7096250,1.8839288e-05
231583,752750,7096250,1.2858822e-05
231584,754250,7096250,1.2941636e-05
231585,755750,7096250,1.8823159e-05
231586,757250,7096250,1.5205818e-05
231589,761750,7096250,1.0034893e-05
231595,770750,7096250,2.2429e-05
231596,772250,7096250,2.3477847e-05
231597,773750,7096250,2.2937909e-05
231598,775250,7096250,1.752643e-05
231599,776750,7096250,1.7748542e-05
231600,778250,7096250,2.3224356e-05
231601,787250,7096250,2.3756756e-05
231602,788750,7096250,2.3304121e-05
231670,652250,7094750,7.2057037e-06
231671,653750,7094750,6.3978478e-06
231676,661250,7094750,8.8549523e-06
231677,662750,7094750,8.6583477e-06
231679,665750,7094750,1.6908885e-05
231680,667250,7094750,1.6773181e-05
231681,668750,7094750,1.5473455e-05
231682,673250,7094750,1.7266366e-05
231683,674750,7094750,1.7587086e-05
231684,676250,7094750,1.76665e-05
231685,677750,7094750,1.775941e-05
231686,679250,7094750,1.7819892e-05
231687,680750,7094750,1.7852148e-05
231688,683750,7094750,1.8197497e-05
231689,685250,7094750,1.8461857e-05
231690,686750,7094750,1.6131497e-05
231691,688250,7094750,1.122465e-05
231692,689750,7094750,8.4956482e-06
231693,691250,7094750,6.5222962e-06
231694,692750,7094750,6.6782472e-06
231695,694250,7094750,6.7536107e-06
231696,695750,7094750,6.7474225e-06
231697,697250,7094750,9.7352095e-06
231698,698750,7094750,1.2694579e-05
231699,725750,7094750,1.1859603e-05
231700,727250,7094750,1.480118e-05
231701,728750,7094750,1.7107172e-05
231702,730250,7094750,1.3983033e-05
231703,731750,7094750,1.0552883e-05
231704,733250,7094750,6.644852e-06
231705,734750,7094750,1.1546159e-05
231706,737750,7094750,1.4093493e-05
231707,739250,7094750,1.3064946e-05
231708,740750,7094750,1.3152493e-05
231709,742250,7094750,1.6155444e-05
231710,743750,7094750,1.7561842e-05
231711,745250,7094750,1.0156502e-05
231712,746750,7094750,6.7103633e-06
231713,748250,7094750,6.9395915e-06
231714,749750,7094750,1.1620663e-05
231715,751250,7094750,1.5156785e-05
231716,752750,7094750,9.613811e-06
231717,754250,7094750,9.8971732e-06
231718,755750,7094750,1.5801312e-05
231719,757250,7094750,1.179439e-05
231728,770750,7094750,2.0767464e-05
231729,772250,7094750,2.1762142e-05
231730,773750,7094750,2.0652989e-05
231731,775250,7094750,1.3738326e-05
231732,776750,7094750,1.4246534e-05
231733,778250,7094750,2.2142201e-05
231734,779750,7094750,2.4614523e-05
231735,781250,7094750,2.4359279e-05
231736,782750,7094750,1.7217808e-05
231737,787250,7094750,2.4421337e-05
231738,788750,7094750,2.290092e-05
231739,790250,7094750,1.3325203e-05
231740,793250,7094750,2.2575379e-05
231808,652250,7093250,7.6401611e-06
231809,653750,7093250,7.4282707e-06
231815,662750,7093250,6.335737e-06
231817,665750,7093250,1.3223982e-05
231818,667250,7093250,1.5697811e-05
231819,668750,7093250,1.7294678e-05
231820,670250,7093250,1.7239265e-05
231821,671750,7093250,1.7256199e-05
231822,673250,7093250,1.735393e-05
231823,674750,7093250,1.7376757e-05
231824,676250,7093250,1.7097074e-05
231825,677750,7093250,1.5439691e-05
231826,679250,7093250,1.4684655e-05
231827,680750,7093250,1.475092e-05
231828,682250,7093250,1.6361373e-05
231829,683750,7093250,1.7639151e-05
231830,685250,7093250,1.6326592e-05
231831,686750,7093250,1.2958202e-05
231832,688250,7093250,7.4234149e-06
231833,689750,7093250,6.5066415e-06
231840,700250,7093250,1.0240893e-05
231841,725750,7093250,6.125284e-06
231843,728750,7093250,1.635501e-05
231844,730250,7093250,9.6029244e-06
231845,731750,7093250,6.3702896e-06
231846,733250,7093250,6.0552497e-06
231847,734750,7093250,1.1707965e-05
231848,736250,7093250,1.5734906e-05
231849,737750,7093250,9.6417016e-06
231850,739250,7093250,6.918327e-06
231851,740750,7093250,7.0383053e-06
231852,742250,7093250,1.338407e-05
231853,743750,7093250,1.7567278e-05
231858,751250,7093250,8.7677381e-06
231860,754250,7093250,7.7408213e-06
231861,755750,7093250,9.3076942e-06
231872,772250,7093250,1.4410356e-05
231873,773750,7093250,1.4162826e-05
231874,775250,7093250,1.7375582e-05
231875,776750,7093250,1.7188127e-05
231876,778250,7093250,1.4762262e-05
231877,779750,7093250,2.0374957e-05
231878,781250,7093250,2.4878531e-05
231879,782750,7093250,2.1830861e-05
231880,787250,7093250,1.9946687e-05
231881,788750,7093250,1.6117401e-05
231882,790250,7093250,1.707744e-05
231883,791750,7093250,1.6779686e-05
231884,793250,7093250,1.6082638e-05
231885,794750,7093250,1.3138083e-05
231963,667250,7091750,1.2616516e-05
231964,668750,7091750,1.7303022e-05
231965,670250,7091750,1.728877e-05
231966,671750,7091750,1.7155013e-05
231967,673250,7091750,1.6914128e-05
231968,674750,7091750,1.6824966e-05
231969,676250,7091750,1.5827343e-05
231972,680750,7091750,8.3542827e-06
231973,682250,7091750,1.2926507e-05
231974,683750,7091750,1.6250126e-05
231975,685250,7091750,1.1152688e-05
231976,686750,7091750,8.0909394e-06
231986,701750,7091750,1.2659536e-05
231987,707750,7091750,1.9177451e-05
231988,709250,7091750,1.5847503e-05
231989,710750,7091750,1.0055929e-05
231990,712250,7091750,1.571599e-05
231991,713750,7091750,1.994283e-05
231992,725750,7091750,6.7024394e-06
231994,728750,7091750,1.1019e-05
231997,733250,7091750,6.2181953e-06
231998,734750,7091750,9.1603333e-06
232000,737750,7091750,7.6624956e-06
232001,739250,7091750,6.0807565e-06
232003,742250,7091750,1.0150103e-05
232004,743750,7091750,1.2885784e-05
232005,745250,7091750,8.6331393e-06
232006,746750,7091750,7.2522648e-06
232009,751250,7091750,6.9753187e-06
232025,775250,7091750,1.7918237e-05
232026,776750,7091750,1.6886832e-05
232030,782750,7091750,2.4878707e-05
232031,784250,7091750,2.4619781e-05
232032,785750,7091750,2.3223656e-05
232033,787250,7091750,1.5397321e-05
232034,788750,7091750,1.076579e-05
232035,790250,7091750,1.9653928e-05
232119,668750,7090250,1.2839925e-05
232120,670250,7090250,1.3590018e-05
232121,671750,7090250,1.3828783e-05
232122,673250,7090250,1.3616419e-05
232123,674750,7090250,1.3043506e-05
232124,676250,7090250,1.1796091e-05
