ILAY,INODE,ICOL,IROW,X,Y,head_m,cond_m2_per_day
7,252965,1,340,551750,6935750,214.13442,1.114
7,253199,1,341,551750,6934250,213.44615,1.107
7,253433,1,342,551750,6932750,212.7658,1.1
7,253667,1,343,551750,6931250,212.6008,1.093
7,253900,1,344,551750,6929750,212.41196,1.08533
7,254133,1,345,551750,6928250,211.14099,1.07767
7,254365,1,346,551750,6926750,208.32089,1.07
7,254598,1,347,551750,6925250,204.72989,1.06233
7,254830,1,348,551750,6923750,201.86396,1.05467
7,255061,1,349,551750,6922250,200.8158,1.047
7,255293,1,350,551750,6920750,201.74906,1.0395
7,255524,1,351,551750,6919250,204.14752,1.032
7,255755,1,352,551750,6917750,207.16464,1.0245
7,255985,1,353,551750,6916250,209.86712,1.017
7,256215,1,354,551750,6914750,211.58863,1.0095
7,256445,1,355,551750,6913250,212.1293,1.002
7,256674,1,356,551750,6911750,211.7085,0.987467
7,256903,1,357,551750,6910250,210.98201,0.972933
7,257132,1,358,551750,6908750,210.87334,0.9584
7,257361,1,359,551750,6907250,211.88775,0.943867
7,257590,1,360,551750,6905750,213.50797,0.929333
7,257818,1,361,551750,6904250,214.3748,0.9148
7,258046,1,362,551750,6902750,213.16778,0.898517
7,258274,1,363,551750,6901250,209.72005,0.882233
7,258502,1,364,551750,6899750,205.47787,0.86595
7,258729,1,365,551750,6898250,202.46174,0.849667
7,258957,1,366,551750,6896750,201.5197,0.833383
7,259184,1,367,551750,6895250,201.6411,0.8171
7,259411,1,368,551750,6893750,200.84304,0.801983
7,259638,1,369,551750,6892250,197.86266,0.786867
7,259865,1,370,551750,6890750,193.40741,0.77175
7,260091,1,371,551750,6889250,189.60449,0.756633
7,260317,1,372,551750,6887750,187.93968,0.741517
7,260544,1,373,551750,6886250,187.8365,0.7264
7,260770,1,374,551750,6884750,187.02616,0.723583
7,260997,1,375,551750,6883250,183.27811,0.720767
7,261223,1,376,551750,6881750,176.41969,0.71795
7,261449,1,377,551750,6880250,168.77216,0.715133
7,261675,1,378,551750,6878750,163.24511,0.712317
7,261901,1,379,551750,6877250,161.3532,0.7095
7,262126,1,380,551750,6875750,163.02855,0.727317
7,262350,1,381,551750,6874250,167.31897,0.745133
7,262574,1,382,551750,6872750,172.90677,0.76295
7,262797,1,383,551750,6871250,178.41627,0.780767
7,263019,1,384,551750,6869750,182.59957,0.798583
7,263241,1,385,551750,6868250,184.2664,0.8164
7,263462,1,386,551750,6866750,182.24725,0.843967
7,263682,1,387,551750,6865250,176.04133,0.871533
7,263901,1,388,551750,6863750,166.92989,0.8991
7,264120,1,389,551750,6862250,157.90785,0.926667
7,264338,1,390,551750,6860750,151.8173,0.954233
7,264555,1,391,551750,6859250,149.8187,0.9818
7,264771,1,392,551750,6857750,151.47499,1.00367
7,264987,1,393,551750,6856250,155.3878,1.02553
7,265202,1,394,551750,6854750,159.69802,1.0474
7,265416,1,395,551750,6853250,162.81868,1.06927
7,265628,1,396,551750,6851750,164.23785,1.09113
7,265840,1,397,551750,6850250,164.5047,1.113
7,266052,1,398,551750,6848750,164.54482,1.09667
7,266263,1,399,551750,6847250,165.1644,1.08033
7,266473,1,400,551750,6845750,166.83503,1.064
7,266683,1,401,551750,6844250,169.44742,1.04767
7,266892,1,402,551750,6842750,172.13089,1.03133
7,267100,1,403,551750,6841250,173.4018,1.015
7,267308,1,404,551750,6839750,171.63788,0.928983
7,267515,1,405,551750,6838250,165.97288,0.842967
7,267722,1,406,551750,6836750,157.44256,0.75695
7,267928,1,407,551750,6835250,148.93336,0.670933
7,268134,1,408,551750,6833750,143.22215,0.584917
7,268339,1,409,551750,6832250,141.3675,0.4989
7,268543,1,410,551750,6830750,142.88628,0.418833
7,268747,1,411,551750,6829250,146.46658,0.338767
7,268949,1,412,551750,6827750,150.4068,0.2587
7,269151,1,413,551750,6826250,153.2586,0.178633
7,269352,1,414,551750,6824750,154.59741,0.098566674
7,269552,1,415,551750,6823250,154.9021,0.0185
7,269752,1,416,551750,6821750,154.71997,0.018093331
7,269951,1,417,551750,6820250,154.194,0.017686671
7,270149,1,418,551750,6818750,153.22558,0.017279999
7,270347,1,419,551750,6817250,151.92202,0.01687333
7,270544,1,420,551750,6815750,150.75704,0.01646667
7,270740,1,421,551750,6814250,150.2749,0.01606
7,270934,1,422,551750,6812750,150.84871,0.015766671
7,271128,1,423,551750,6811250,152.63987,0.01547333
7,271321,1,424,551750,6809750,155.43001,0.01518
7,271513,1,425,551750,6808250,158.43021,0.01488667
7,271704,1,426,551750,6806750,160.65149,0.01459333
7,271895,1,427,551750,6805250,161.4726,0.0143
7,272085,1,428,551750,6803750,160.52582,0.01408667
7,272275,1,429,551750,6802250,157.43195,0.01387333
7,272465,1,430,551750,6800750,152.40357,0.01366
7,272654,1,431,551750,6799250,147.20407,0.01344667
7,272843,1,432,551750,6797750,143.96706,0.01323333
7,273031,1,433,551750,6796250,145.41,0.01303
7,273032,2,433,553250,6796250,145.34,0.010533779
