,ICOL,IROW,ILAY,INODE,IBOUND,NTOP,NBOT,X,Y,THICKNESS,OUTCROP,Depth,kx,SS,rch
230552,45,215,7,230553,1,549.064,510.197,617750,7123250,38.86699999999996,N,84.7441,0.120206,1.33e-05,
230553,46,215,7,230554,1,552.8437,517.3401,619250,7123250,35.503600000000006,N,87.12900000000002,0.1261908,1.33e-05,
230554,47,215,7,230555,1,565.1414,530.7191,620750,7123250,34.42229999999995,N,58.70915000000002,0.1350385,1.33e-05,
230555,48,215,7,230556,1,598.6847,555.5204,622250,7123250,43.164300000000026,N,45.998149999999896,0.14689,1.33e-05,
230556,49,215,7,230557,1,629.7536,584.9971,623750,7123250,44.75649999999996,N,51.76355000000001,0.1619408,1.33e-05,
230557,50,215,7,230558,1,622.6606,595.9581,625250,7123250,26.7025000000001,N,61.220950000000016,0.1804121,1.33e-05,
230558,3,216,7,230559,1,535.0148,533.5769,554750,7121750,1.4379000000000133,Y,0.7189500000000635,6.000551,-0.021985425,
230559,36,216,7,230560,1,498.9534,488.8795,604250,7121750,10.07389999999998,Y,5.03694999999999,0.2093487,-0.021985425,
230560,37,216,7,230561,1,513.8638,492.447,605750,7121750,21.416799999999967,N,21.584799999999973,0.1746845,1.33e-05,
230561,38,216,7,230562,1,521.0167,497.4586,607250,7121750,23.558100000000024,N,115.13334999999995,0.149408,1.33e-05,
230562,39,216,7,230563,1,527.8376,501.1981,608750,7121750,26.63949999999994,N,76.17925000000002,0.1312363,1.33e-05,
230563,40,216,7,230564,1,531.0085,502.8421,610250,7121750,28.16640000000001,N,130.35440000000006,0.1185427,1.33e-05,
230564,41,216,7,230565,1,530.6783,502.667,611750,7121750,28.011300000000062,N,97.87914999999998,0.1101906,1.33e-05,
230565,42,216,7,230566,1,531.9297,501.4976,613250,7121750,30.432100000000048,N,59.70425,0.1054095,1.33e-05,
230566,43,216,7,230567,1,535.7656,500.2604,614750,7121750,35.505199999999945,N,78.40910000000008,0.103706,1.33e-05,
230567,44,216,7,230568,1,539.9834,500.2708,616250,7121750,39.71259999999995,N,80.25690000000009,0.1048,1.33e-05,
230568,45,216,7,230569,1,544.2838,502.9463,617750,7121750,41.337500000000034,N,90.70995000000005,0.1085793,1.33e-05,
230569,46,216,7,230570,1,551.7631,509.2589,619250,7121750,42.504200000000026,N,71.02240000000006,0.1150661,1.33e-05,
230570,47,216,7,230571,1,567.9147,519.782,620750,7121750,48.1327,N,57.511750000000006,0.1243912,1.33e-05,
230571,48,216,7,230572,1,596.1134,536.5929,622250,7121750,59.52049999999997,N,91.04765000000009,0.1367707,1.33e-05,
230572,49,216,7,230573,1,618.259,556.4888,623750,7121750,61.770200000000045,N,79.0646999999999,0.1524814,1.33e-05,
230573,50,216,7,230574,1,626.5439,568.9858,625250,7121750,57.55809999999997,Y,28.779049999999984,0.1718321,-0.021985425,
230574,2,217,7,230575,1,568.2581,546.3843,553250,7120250,21.87379999999996,Y,10.936899999999923,5.952794,-0.021985425,
230575,3,217,7,230576,1,517.4697,516.9697,554750,7120250,0.5,Y,0.25,6.217306,-0.021985425,
230576,4,217,7,230577,1,522.4972,516.0732,556250,7120250,6.423999999999978,Y,3.211999999999989,6.505143,-0.021985425,
