RN,YEAR,PROP_ID,GIS_LAT,GIS_LNG,IN_CMA,IN_AOI,BORE_TYPE,BORE_STATUS,OGIA_P3,FM_GROUP,MainAq,FORMATION,LAYER,REL_T,SD_Prop_Dry,SD_Prop_Av,SD_Prop_Wet,SI_Prop_Dry,SI_Prop_Av,SI_Prop_Wet,SD_Bore_Dry,SD_Bore_Av,SD_Bore_Wet,SI_Bore_Dry,SI_Bore_Av,SI_Bore_Wet,BoreYld,YldAuthPCT,SHARE_ENT_EVEN,SHARE_ENT_YLD,AUTH_REFS,NOM_ENT,NSD_Bore_Wet,NSD_Bore_Av,NSD_Bore_Dry,GMA,Limitation,WU_SOURCE,Metered_Bore,Metered_Prop,Metered_Source,ClimateZone,Climate,SD_Prop,SI_Prop,NSD_Bore,SD_Bore,SI_Bore,SI_TYPE,WU_CLASS,ML_Bore,ML_Aquifer
147902,2024,41172734,-27.36166667,152.0380556,,,PWS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,0.903051804,1.583290732,1.433290732,1.283290732,,,,1.583290732,1.433290732,1.283290732,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,1.433290732,,,1.433290732,0,,S&D,1.433290732,1.294335782
129223,2024,41176780,-27.2156268,151.944474,Y,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,1.832485186,1.682485186,1.532485186,,,,0.916242593,0.841242593,0.766242593,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,1.682485186,,,0.841242593,0,,S&D,0.841242593,0.841242593
129224,2024,41176780,-27.2122494,151.9450796,Y,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,1.832485186,1.682485186,1.532485186,,,,0.916242593,0.841242593,0.766242593,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,1.682485186,,,0.841242593,0,,S&D,0.841242593,0.841242593
17690,2024,41182414,-25.57937689,149.9899113,Y,,WS,AD,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,7.207235838,7.057235838,6.907235838,,,,3.603617919,3.528617919,3.453617919,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,7.057235838,,,3.528617919,0,,S&D,3.528617919,3.528617919
206871,2024,41182414,-25.58300775,149.9889971,Y,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,7.207235838,7.057235838,6.907235838,,,,3.603617919,3.528617919,3.453617919,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,7.057235838,,,3.528617919,0,,S&D,3.528617919,3.528617919
58177,2024,41186222,-25.735306,149.014512,Y,Y,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,45.7775116,18.32304611,1.2,,,,3.814792633,1.526920509,0.1,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,18.32304611,,,1.526920509,0,,S&D,1.526920509,1.526920509
58191,2024,41186222,-25.75648186,149.0644499,Y,Y,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,45.7775116,18.32304611,1.2,,,,3.814792633,1.526920509,0.1,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,18.32304611,,,1.526920509,0,,S&D,1.526920509,1.526920509
160046,2024,41186222,-25.732186,148.99882,Y,Y,NWS,EX,Agric_Other,Surat_Basin,1,Precipice Sandstone,24,0.999473662,45.7775116,18.32304611,1.2,,,,3.814792633,1.526920509,0.1,0,0,0,334.1910973,20,35,35,626024,175,28,31.5,35,,,Entitlement,,,,Zone5,Wet,18.32304611,,28,1.526920509,0,,Ent,29.52692051,29.51137936
168181,2024,41186222,-25.76,149.05,Y,Y,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,45.7775116,18.32304611,1.2,,,,3.814792633,1.526920509,0.1,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,18.32304611,,,1.526920509,0,,S&D,1.526920509,1.526920509
143024,2024,41186917,-27.0024374,151.8838129,,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,5.317475146,3.604175748,1.26555659,,,,2.658737573,1.802087874,0.632778295,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,3.604175748,,,1.802087874,0,,S&D,1.802087874,1.802087874
