INODE,X,Y,ILAY,head_predev_m
1030356,587750,7246250,24,632.3248
1030357,589250,7246250,24,630.7355
1030358,590750,7246250,24,630.8092
1030359,592250,7246250,24,629.2035
1030360,593750,7246250,24,628.2949
1030361,595250,7246250,24,628.3158
1030362,596750,7246250,24,628.2947
1030363,598250,7246250,24,628.3053
1030364,599750,7246250,24,627.8285
1030365,601250,7246250,24,627.0972
1030366,602750,7246250,24,626.2561
1030367,625250,7246250,24,637.7639
1030368,745250,7246250,24,313.6004
1030369,746750,7246250,24,317.9147
1030370,748250,7246250,24,326.7501
1030371,749750,7246250,24,321.0944
1030372,751250,7246250,24,317.3834
1030373,752750,7246250,24,313.7663
1030374,754250,7246250,24,309.2162
1030375,755750,7246250,24,301.962
1030376,757250,7246250,24,302.9526
1030377,758750,7246250,24,309.5424
1030378,760250,7246250,24,315.6838
1030379,761750,7246250,24,313.7279
1030380,553250,7244750,24,680.1777
1030381,554750,7244750,24,682.0573
1030382,557750,7244750,24,691.7586
1030383,559250,7244750,24,692.1353
1030384,560750,7244750,24,692.4316
1030385,562250,7244750,24,692.7026
1030386,563750,7244750,24,692.9739
1030387,565250,7244750,24,693.2098
1030388,566750,7244750,24,693.5053
1030389,568250,7244750,24,693.9153
1030390,569750,7244750,24,694.3509
1030391,571250,7244750,24,694.7513
1030392,572750,7244750,24,695.1093
1030393,574250,7244750,24,695.3836
1030394,575750,7244750,24,695.5857
1030395,577250,7244750,24,695.6577
1030396,581750,7244750,24,638.0619
1030397,583250,7244750,24,637.7316
1030398,584750,7244750,24,637.5601
1030399,587750,7244750,24,630.0311
1030400,589250,7244750,24,627.5638
1030401,592250,7244750,24,625.5514
1030402,593750,7244750,24,625.4653
1030403,595250,7244750,24,625.9329
1030404,596750,7244750,24,626.3429
1030405,598250,7244750,24,626.2593
1030406,599750,7244750,24,626.0552
1030407,601250,7244750,24,625.7269
1030408,602750,7244750,24,625.3581
1030409,604250,7244750,24,625.2113
1030410,620750,7244750,24,657.2487
1030411,622250,7244750,24,639.6718
1030412,623750,7244750,24,629.4503
1030413,625250,7244750,24,630.6517
1030414,626750,7244750,24,629.3873
1030415,743750,7244750,24,294.4641
1030416,745250,7244750,24,309.4963
1030417,746750,7244750,24,314.1344
1030418,748250,7244750,24,318.3349
1030419,749750,7244750,24,317.9656
1030420,751250,7244750,24,316.3984
1030421,752750,7244750,24,314.2428
1030422,754250,7244750,24,311.4866
1030423,755750,7244750,24,308.5896
1030424,757250,7244750,24,308.1739
1030425,758750,7244750,24,310.09
1030426,760250,7244750,24,312.0693
1030427,761750,7244750,24,311.2494
1030428,763250,7244750,24,308.5969
1030429,553250,7243250,24,681.7705
1030430,554750,7243250,24,685.1063
1030431,556250,7243250,24,688.4562
1030432,557750,7243250,24,690.6027
1030433,559250,7243250,24,691.7914
1030434,560750,7243250,24,692.3322
1030435,562250,7243250,24,692.6556
1030436,563750,7243250,24,692.9402
1030437,565250,7243250,24,693.1993
1030438,566750,7243250,24,693.484
1030439,568250,7243250,24,693.9329
1030440,569750,7243250,24,694.3812
1030441,571250,7243250,24,694.6916
1030442,572750,7243250,24,695.113
1030443,574250,7243250,24,695.5533
1030444,575750,7243250,24,695.7484
1030445,581750,7243250,24,638.2154
1030446,584750,7243250,24,637.6894
1030447,589250,7243250,24,621.6129
1030448,590750,7243250,24,620.7259
1030449,592250,7243250,24,622.3184
1030450,593750,7243250,24,622.876
1030451,595250,7243250,24,623.5227
1030452,596750,7243250,24,624.3528
1030453,598250,7243250,24,624.2508
1030454,599750,7243250,24,624.3032
1030455,601250,7243250,24,624.2655
1030456,602750,7243250,24,624.3402
1030457,604250,7243250,24,625.0479
1030458,605750,7243250,24,627.3869
1030459,607250,7243250,24,648.7504
1030460,622250,7243250,24,623.3254
1030461,623750,7243250,24,608.7079
1030462,625250,7243250,24,621.4394
1030463,626750,7243250,24,625.5695
1030464,742250,7243250,24,304.5493
1030465,743750,7243250,24,302.8341
1030466,745250,7243250,24,307.708
1030467,746750,7243250,24,311.7256
1030468,748250,7243250,24,314.8654
1030469,749750,7243250,24,316.072
1030470,751250,7243250,24,315.8847
1030471,752750,7243250,24,314.8556
1030472,754250,7243250,24,313.3198
1030473,755750,7243250,24,311.6927
1030474,757250,7243250,24,310.8272
1030475,758750,7243250,24,310.7947
1030476,760250,7243250,24,310.7936
1030477,761750,7243250,24,309.3893
1030478,763250,7243250,24,305.1571
1030479,764750,7243250,24,305.5103
1030480,766250,7243250,24,305.5805
1030481,553250,7241750,24,683.4024
1030482,554750,7241750,24,686.7136
1030483,556250,7241750,24,688.7271
1030484,557750,7241750,24,690.2217
1030485,559250,7241750,24,691.3397
1030486,560750,7241750,24,692.0705
1030487,562250,7241750,24,692.5613
1030488,563750,7241750,24,692.9246
1030489,565250,7241750,24,693.2162
1030490,566750,7241750,24,693.4876
1030491,568250,7241750,24,693.9605
1030492,569750,7241750,24,694.3752
1030493,571250,7241750,24,694.6139
1030494,574250,7241750,24,695.8682
1030495,586250,7241750,24,613.8304
1030496,587750,7241750,24,615.2118
1030497,589250,7241750,24,617.6944
1030498,590750,7241750,24,618.5611
1030499,592250,7241750,24,619.8874
1030500,593750,7241750,24,620.9291
1030501,595250,7241750,24,621.5186
1030502,596750,7241750,24,622.216
1030503,598250,7241750,24,622.1066
1030504,599750,7241750,24,622.1323
1030505,601250,7241750,24,622.2566
1030506,602750,7241750,24,622.7208
1030507,604250,7241750,24,623.5702
1030508,605750,7241750,24,625.3725
1030509,607250,7241750,24,628.577
1030510,608750,7241750,24,636.6981
1030511,620750,7241750,24,680.3464
1030512,623750,7241750,24,577.9501
1030513,740750,7241750,24,306.3602
1030514,742250,7241750,24,305.9786
1030515,743750,7241750,24,306.1516
1030516,745250,7241750,24,308.5827
1030517,746750,7241750,24,311.5517
1030518,748250,7241750,24,314.1692
1030519,749750,7241750,24,315.7193
1030520,751250,7241750,24,316.1135
1030521,752750,7241750,24,315.6622
1030522,754250,7241750,24,314.7178
1030523,755750,7241750,24,313.5257
1030524,757250,7241750,24,312.3914
1030525,758750,7241750,24,311.4271
1030526,760250,7241750,24,310.5227
1030527,763250,7241750,24,295.0411
1030528,766250,7241750,24,305.5261
1030529,551750,7240250,24,652.9145
1030530,554750,7240250,24,687.407
1030531,556250,7240250,24,688.921
1030532,557750,7240250,24,690.0705
1030533,559250,7240250,24,691.0423
1030534,560750,7240250,24,691.8781
1030535,562250,7240250,24,692.4988
1030536,563750,7240250,24,692.9537
1030537,565250,7240250,24,693.2728
1030538,566750,7240250,24,693.5225
