INODE,X,Y,ILAY,head_predev_m
781871,751250,7204250,19,272.5225
781872,752750,7204250,19,266.7956
781873,754250,7204250,19,264.613
781874,755750,7204250,19,262.8926
781875,757250,7204250,19,259.3917
781876,758750,7204250,19,252.7137
781877,760250,7204250,19,246.6947
781878,761750,7204250,19,249.3171
781879,763250,7204250,19,250.4949
781880,770750,7204250,19,260.7363
781881,775250,7204250,19,237.7906
781882,776750,7204250,19,257.5612
781883,779750,7204250,19,278.5907
781884,590750,7202750,19,706.7829
781885,592250,7202750,19,712.0194
781886,593750,7202750,19,669.5182
781887,602750,7202750,19,596.3422
781888,604250,7202750,19,580.5109
781889,605750,7202750,19,581.4558
781890,607250,7202750,19,579.0855
781891,608750,7202750,19,571.0335
781892,613250,7202750,19,591.3229
781893,614750,7202750,19,588.9617
781894,616250,7202750,19,567.9175
781895,617750,7202750,19,549.6641
781896,619250,7202750,19,529.7067
781897,620750,7202750,19,536.0329
781898,622250,7202750,19,542.0746
781899,623750,7202750,19,553.6596
781900,736250,7202750,19,388.0129
781901,739250,7202750,19,340.054
781902,740750,7202750,19,325.1406
781903,742250,7202750,19,311.1086
781904,743750,7202750,19,301.2142
781905,745250,7202750,19,294.6251
781906,746750,7202750,19,282.9032
781907,748250,7202750,19,273.9113
781908,749750,7202750,19,267.6738
781909,751250,7202750,19,262.1881
781910,752750,7202750,19,258.2206
781911,754250,7202750,19,255.3199
781912,755750,7202750,19,252.0818
781913,757250,7202750,19,247.7513
781914,758750,7202750,19,237.7645
781915,760250,7202750,19,236.022
781916,761750,7202750,19,236.0338
781917,763250,7202750,19,239.1989
781918,764750,7202750,19,236.9913
781919,766250,7202750,19,235.6784
781920,767750,7202750,19,236.3213
781921,772250,7202750,19,255.3277
781922,775250,7202750,19,241.9952
781923,776750,7202750,19,252.3287
781924,778250,7202750,19,264.4857
781925,779750,7202750,19,275.0784
781926,589250,7201250,19,667.8399
781927,590750,7201250,19,677.6747
781928,592250,7201250,19,673.0893
781929,593750,7201250,19,650.496
781930,595250,7201250,19,650.8848
781931,598250,7201250,19,627.476
781932,599750,7201250,19,607.9661
781933,604250,7201250,19,565.3121
781934,610250,7201250,19,555.0661
781935,613250,7201250,19,583.7759
781936,614750,7201250,19,575.4535
781937,616250,7201250,19,551.4535
781938,617750,7201250,19,549.0555
781939,619250,7201250,19,526.5613
781940,620750,7201250,19,522.4761
781941,622250,7201250,19,541.4972
781942,623750,7201250,19,550.9661
781943,625250,7201250,19,537.7553
781944,736250,7201250,19,387.7116
781945,737750,7201250,19,344.4493
781946,739250,7201250,19,353.3834
781947,740750,7201250,19,326.7338
781948,742250,7201250,19,302.4013
781949,743750,7201250,19,287.3571
781950,745250,7201250,19,277.6492
781951,746750,7201250,19,269.0414
781952,748250,7201250,19,262.582
781953,749750,7201250,19,257.6527
781954,751250,7201250,19,253.5965
781955,752750,7201250,19,250.3434
781956,754250,7201250,19,247.4568
781957,755750,7201250,19,244.3378
781958,757250,7201250,19,241.1803
781959,758750,7201250,19,238.0357
781960,760250,7201250,19,236.1991
781961,761750,7201250,19,235.0333
781962,763250,7201250,19,234.5079
781963,764750,7201250,19,233.471
781964,766250,7201250,19,232.1083
781965,767750,7201250,19,231.2985
781966,770750,7201250,19,243.9597
781967,772250,7201250,19,255.9681
781968,781250,7201250,19,275.2334
781969,560750,7199750,19,681.7021
781970,590750,7199750,19,656.276
781971,592250,7199750,19,662.2898
781972,593750,7199750,19,668.8058
781973,595250,7199750,19,644.8011
781974,596750,7199750,19,643.2091
781975,598250,7199750,19,633.8075
781976,599750,7199750,19,605.7583
781977,601250,7199750,19,609.9328
781978,602750,7199750,19,602.4449
781979,604250,7199750,19,595.6176
781980,605750,7199750,19,584.508
781981,607250,7199750,19,584.7048
781982,611750,7199750,19,560.6674
781983,613250,7199750,19,575.888
781984,614750,7199750,19,572.8758
781985,616250,7199750,19,550.2495
781986,617750,7199750,19,524.7721
781987,619250,7199750,19,519.4813
781988,620750,7199750,19,543.0613
781989,622250,7199750,19,552.3
781990,623750,7199750,19,550.0471
781991,625250,7199750,19,533.3742
781992,739250,7199750,19,330.0005
781993,740750,7199750,19,305.1194
781994,742250,7199750,19,285.2863
781995,743750,7199750,19,272.5147
781996,745250,7199750,19,263.4915
781997,746750,7199750,19,257.3859
781998,748250,7199750,19,252.7901
781999,749750,7199750,19,248.8973
782000,751250,7199750,19,245.9205
782001,752750,7199750,19,243.5618
782002,754250,7199750,19,241.3196
782003,755750,7199750,19,239.0278
782004,757250,7199750,19,237.2046
782005,758750,7199750,19,235.4123
782006,760250,7199750,19,233.8578
782007,761750,7199750,19,232.5751
782008,763250,7199750,19,231.5541
782009,764750,7199750,19,230.2545
782010,766250,7199750,19,228.001
782011,767750,7199750,19,225.1009
782012,769250,7199750,19,223.2254
782013,773750,7199750,19,242.2667
782014,778250,7199750,19,245.8612
782015,556250,7198250,19,666.6068
782016,557750,7198250,19,676.9153
782017,559250,7198250,19,673.2912
782018,590750,7198250,19,642.0839
782019,592250,7198250,19,657.0746
782020,593750,7198250,19,665.4474
782021,595250,7198250,19,651.237
782022,596750,7198250,19,620.8969
782023,598250,7198250,19,607.0444
782024,599750,7198250,19,617.1811
782025,601250,7198250,19,610.166
782026,602750,7198250,19,584.0325
782027,604250,7198250,19,589.4136
782028,605750,7198250,19,575.7513
782029,607250,7198250,19,559.908
782030,608750,7198250,19,555.6983
782031,611750,7198250,19,559.1623
782032,613250,7198250,19,550.4319
782033,614750,7198250,19,563.284
782034,616250,7198250,19,555.9396
782035,617750,7198250,19,538.6106
782036,619250,7198250,19,509.5839
782037,620750,7198250,19,530.8965
782038,622250,7198250,19,542.0929
782039,623750,7198250,19,528.3864
782040,625250,7198250,19,519.1514
782041,626750,7198250,19,530.0793
782042,731750,7198250,19,402.738
782043,737750,7198250,19,326.4609
782044,739250,7198250,19,307.1978
782045,740750,7198250,19,284.827
