INODE,X,Y,RCH_SS_m_per_day
781811,764750,7207250,8.9519417e-06
781812,773750,7207250,8.3895984e-06
781813,775250,7207250,8.6907075e-06
781814,776750,7207250,8.7843237e-06
841900,778250,7207250,8.7583148e-06
781815,593750,7205750,9.5466157e-06
781816,598250,7205750,6.5610093e-06
781817,601250,7205750,8.0231812e-06
781818,602750,7205750,9.7706334e-06
781819,604250,7205750,9.9240979e-06
781820,605750,7205750,9.8102209e-06
781821,607250,7205750,9.7509474e-06
781822,610250,7205750,1.0662106e-05
781823,611750,7205750,1.0687252e-05
781824,614750,7205750,1.1698781e-05
781825,616250,7205750,1.169605e-05
781826,617750,7205750,1.1501777e-05
781827,620750,7205750,1.120814e-05
781828,622250,7205750,1.1616013e-05
781829,623750,7205750,1.22275e-05
781830,740750,7205750,1.0515826e-05
781831,743750,7205750,1.024906e-05
781832,745250,7205750,9.8794089e-06
781833,746750,7205750,9.8448509e-06
781834,748250,7205750,9.8373075e-06
781835,749750,7205750,9.5109081e-06
781836,751250,7205750,9.381728e-06
781837,752750,7205750,9.4894976e-06
781838,754250,7205750,9.2008186e-06
781839,755750,7205750,8.8515717e-06
781840,757250,7205750,9.0322665e-06
781841,758750,7205750,8.9732084e-06
781842,760250,7205750,8.5734537e-06
781843,764750,7205750,8.496937e-06
781844,770750,7205750,8.4184085e-06
781845,776750,7205750,8.4270305e-06
781846,778250,7205750,8.3776004e-06
841933,779750,7205750,8.7631288e-06
781847,590750,7204250,9.0094909e-06
781848,592250,7204250,9.0434742e-06
781849,598250,7204250,6.2399772e-06
781850,599750,7204250,6.48677e-06
781851,602750,7204250,9.3828057e-06
781852,605750,7204250,9.6032309e-06
781853,607250,7204250,9.4129809e-06
781854,608750,7204250,7.9649135e-06
781855,611750,7204250,9.9342997e-06
781856,613250,7204250,1.0677553e-05
781857,614750,7204250,1.112566e-05
781858,616250,7204250,1.1114021e-05
781859,617750,7204250,1.1103747e-05
781860,619250,7204250,1.1095916e-05
781861,620750,7204250,1.1077523e-05
781862,622250,7204250,1.1150447e-05
781863,623750,7204250,1.2014331e-05
