ILAY,INODE,ICOL,IROW,X,Y,stage_m,cond_m2_per_day,rbot_m
19,781800,127,159,740750,7207250,379.08,5000.0,379.08
19,781801,131,159,746750,7207250,310.22,5000.0,310.22
19,781802,132,159,748250,7207250,302.52,5000.0,302.52
19,781803,133,159,749750,7207250,279.89,5000.0,279.89
19,781804,134,159,751250,7207250,296.0,5000.0,296.0
19,781805,135,159,752750,7207250,269.2,5000.0,269.2
19,781806,136,159,754250,7207250,271.37,5000.0,271.37
19,781807,137,159,755750,7207250,277.83,5000.0,277.83
19,781808,138,159,757250,7207250,287.12,5000.0,287.12
19,781809,140,159,760250,7207250,253.54,5000.0,253.54
19,781810,141,159,761750,7207250,262.91,5000.0,262.91
19,781811,143,159,764750,7207250,305.08,5000.0,305.08
19,781812,149,159,773750,7207250,239.34,5000.0,239.34
19,781813,150,159,775250,7207250,260.85,5000.0,260.85
19,781814,151,159,776750,7207250,264.66,5000.0,264.66
19,781815,29,160,593750,7205750,677.55,5000.0,677.55
19,781816,32,160,598250,7205750,641.43,5000.0,641.43
19,781817,34,160,601250,7205750,619.47,5000.0,619.47
19,781818,35,160,602750,7205750,626.32,5000.0,626.32
19,781819,36,160,604250,7205750,619.23,5000.0,619.23
19,781820,37,160,605750,7205750,613.96,5000.0,613.96
19,781821,38,160,607250,7205750,597.06,5000.0,597.06
19,781822,40,160,610250,7205750,578.4,5000.0,578.4
19,781823,41,160,611750,7205750,595.44,5000.0,595.44
19,781824,43,160,614750,7205750,603.82,5000.0,603.82
19,781825,44,160,616250,7205750,585.86,5000.0,585.86
19,781826,45,160,617750,7205750,563.27,5000.0,563.27
19,781827,47,160,620750,7205750,560.82,5000.0,560.82
19,781828,48,160,622250,7205750,570.38,5000.0,570.38
19,781829,49,160,623750,7205750,592.47,5000.0,592.47
19,781830,127,160,740750,7205750,378.95,5000.0,378.95
19,781831,129,160,743750,7205750,324.55,5000.0,324.55
19,781832,130,160,745250,7205750,312.0,5000.0,312.0
19,781833,131,160,746750,7205750,317.82,5000.0,317.82
19,781834,132,160,748250,7205750,285.67,5000.0,285.67
19,781835,133,160,749750,7205750,296.74,5000.0,296.74
19,781836,134,160,751250,7205750,280.79,5000.0,280.79
19,781837,135,160,752750,7205750,270.24,5000.0,270.24
19,781838,136,160,754250,7205750,308.85,5000.0,308.85
19,781839,137,160,755750,7205750,298.75,5000.0,298.75
19,781840,138,160,757250,7205750,282.31,5000.0,282.31
19,781841,139,160,758750,7205750,261.69,5000.0,261.69
19,781842,140,160,760250,7205750,266.64,5000.0,266.64
19,781843,143,160,764750,7205750,267.31,5000.0,267.31
19,781844,147,160,770750,7205750,266.97,5000.0,266.97
19,781845,151,160,776750,7205750,258.05,5000.0,258.05
19,781846,152,160,778250,7205750,291.85,5000.0,291.85
19,781847,27,161,590750,7204250,681.35,5000.0,681.35
19,781848,28,161,592250,7204250,729.27,5000.0,729.27
19,781849,32,161,598250,7204250,634.82,5000.0,634.82
19,781850,33,161,599750,7204250,610.97,5000.0,610.97
19,781851,35,161,602750,7204250,623.03,5000.0,623.03
19,781852,37,161,605750,7204250,604.9,5000.0,604.9
19,781853,38,161,607250,7204250,597.3,5000.0,597.3
19,781854,39,161,608750,7204250,582.94,5000.0,582.94
19,781855,41,161,611750,7204250,584.71,5000.0,584.71
19,781856,42,161,613250,7204250,575.49,5000.0,575.49
19,781857,43,161,614750,7204250,602.83,5000.0,602.83
19,781858,44,161,616250,7204250,582.67,5000.0,582.67
19,781859,45,161,617750,7204250,554.81,5000.0,554.81
19,781860,46,161,619250,7204250,531.34,5000.0,531.34
19,781861,47,161,620750,7204250,551.64,5000.0,551.64
19,781862,48,161,622250,7204250,564.71,5000.0,564.71
19,781863,49,161,623750,7204250,571.76,5000.0,571.76
19,781864,127,161,740750,7204250,356.22,5000.0,356.22
19,781865,128,161,742250,7204250,336.99,5000.0,336.99
19,781866,129,161,743750,7204250,334.36,5000.0,334.36
19,781867,130,161,745250,7204250,330.22,5000.0,330.22
19,781868,131,161,746750,7204250,311.75,5000.0,311.75
19,781869,132,161,748250,7204250,294.36,5000.0,294.36
19,781870,133,161,749750,7204250,282.58,5000.0,282.58
19,781871,134,161,751250,7204250,280.19,5000.0,280.19
19,781872,135,161,752750,7204250,283.34,5000.0,283.34
19,781873,136,161,754250,7204250,290.89,5000.0,290.89
19,781874,137,161,755750,7204250,262.89,5000.0,262.89
19,781875,138,161,757250,7204250,263.77,5000.0,263.77
19,781876,139,161,758750,7204250,269.09,5000.0,269.09
19,781877,140,161,760250,7204250,246.67,5000.0,246.67
19,781878,141,161,761750,7204250,254.15,5000.0,254.15
19,781879,142,161,763250,7204250,250.49,5000.0,250.49
19,781880,147,161,770750,7204250,260.71,5000.0,260.71
19,781881,150,161,775250,7204250,237.71,5000.0,237.71
19,781882,151,161,776750,7204250,261.93,5000.0,261.93
19,781883,153,161,779750,7204250,284.78,5000.0,284.78
19,781884,27,162,590750,7202750,706.77,5000.0,706.77
19,781885,28,162,592250,7202750,786.53,5000.0,786.53
19,781886,29,162,593750,7202750,669.49,5000.0,669.49
19,781887,35,162,602750,7202750,596.32,5000.0,596.32
19,781888,36,162,604250,7202750,580.48,5000.0,580.48
19,781889,37,162,605750,7202750,581.42,5000.0,581.42
19,781890,38,162,607250,7202750,579.06,5000.0,579.06
19,781891,39,162,608750,7202750,571.01,5000.0,571.01
19,781892,42,162,613250,7202750,594.92,5000.0,594.92
19,781893,43,162,614750,7202750,588.96,5000.0,588.96
19,781894,44,162,616250,7202750,567.9,5000.0,567.9
19,781895,45,162,617750,7202750,549.64,5000.0,549.64
19,781896,46,162,619250,7202750,529.67,5000.0,529.67
19,781897,47,162,620750,7202750,536.01,5000.0,536.01
19,781898,48,162,622250,7202750,542.05,5000.0,542.05
19,781899,49,162,623750,7202750,553.64,5000.0,553.64
19,781900,124,162,736250,7202750,387.99,5000.0,387.99
19,781901,126,162,739250,7202750,340.03,5000.0,340.03
19,781902,127,162,740750,7202750,325.11,5000.0,325.11
19,781903,128,162,742250,7202750,311.09,5000.0,311.09
19,781904,129,162,743750,7202750,301.19,5000.0,301.19
19,781905,130,162,745250,7202750,294.89,5000.0,294.89
19,781906,131,162,746750,7202750,306.49,5000.0,306.49
19,781907,132,162,748250,7202750,301.33,5000.0,301.33
19,781908,133,162,749750,7202750,289.26,5000.0,289.26
19,781909,134,162,751250,7202750,298.05,5000.0,298.05
19,781910,135,162,752750,7202750,291.71,5000.0,291.71
19,781911,136,162,754250,7202750,280.75,5000.0,280.75
19,781912,137,162,755750,7202750,260.36,5000.0,260.36
19,781913,138,162,757250,7202750,248.63,5000.0,248.63
19,781914,139,162,758750,7202750,237.67,5000.0,237.67
19,781915,140,162,760250,7202750,235.99,5000.0,235.99
19,781916,141,162,761750,7202750,235.99,5000.0,235.99
19,781917,142,162,763250,7202750,240.99,5000.0,240.99
19,781918,143,162,764750,7202750,236.98,5000.0,236.98
